kelime;anlam;lowercase;tokens;lemmas;stemmed
Test;Büyük leğen;büyük leğen;büyük leğen;büyük leğen;büyük leğen
Teşt;Leğen;leğen;leğen;leğen;leğen
Tevir;Çeşit;çeşit;çeşit;çeşit;çeşit
Tıngırık;Çinko parçası;parçası çinko;parçası çinko;parçası çinko;parça çinko
Tırıp;Çok pek çok;çok pek çok;pek;pek;pek
Tırıs;Hızlı, süratli.;süratli hızlı;hızlı süratli;hızlı süratli;hızl süratli
Tırpan;Ekin biçmede kullanılan aygıt;ekin aygıt kullanılan biçmede;aygıt biçmede ekin kullanılan;aygıt biçmede ekin kullanılan;aygıt biçme ek kullanılan
Tille;Beygire yük sarmak için semerin iki yanına halatla yapılan üzengi.;iki beygire yük semerin yanına üzengi için halatla yapılan sarmak;beygire halatla iki sarmak semerin yanına yapılan yük üzengi;beygire halatla iki sarmak semerin yanına yapılan yük üzengi;beygir halat ik sarmak semer yan yapılan yük üzeng
Tindirik;Elin orta parmağıyla vurulan fiske;orta parmağıyla elin fiske vurulan;elin fiske orta parmağıyla vurulan;elin fiske orta parmağıyla vurulan;el fisk or parmak vurulan
Tingmek;Fırlamak;fırlamak;fırlamak;fırlamak;fırlamak
Tinkitmek;Sıçratmak.;sıçratmak;sıçratmak;sıçratmak;sıçratmak
Tintirik;Fiske.;fiske;fiske;fiske;fisk
Tokaç;Çul yıkamaya yarayan kalın sopa;sopa kalın çul yarayan yıkamaya;kalın sopa yarayan yıkamaya çul;kalın sopa yarayan yıkamaya çul;kal sop yarayan yıkama çul
Toklu;Boynuzlu gürbüz koç.;koç gürbüz boynuzlu;boynuzlu gürbüz koç;boynuzlu gürbüz koç;boynuz gürp koç
Toklu;Erkek koyun.;koyun erkek;erkek koyun;erkek koyun;erkek koy
Töde;Saman yığını;saman yığını;saman yığını;saman yığını;saman yık
Tuluk;Tulum halinde çıkarılmış keçi derisinden yapılan su taşıma aracı.;çıkarılmış derisinden aracı su keçi yapılan taşıma halinde tulum;aracı derisinden halinde keçi su taşıma tulum yapılan çıkarılmış;aracı derisinden halinde keçi su taşıma tulum yapılan çıkarılmış;araç deri halin keç su taş tul yapılan çıkarıl
Tummak;Suya dalmak;dalmak suya;dalmak suya;dalmak suya;dalmak su
Tusbaa;Kaplumbağa;kaplumbağa;kaplumbağa;kaplumbağa;kaplumbak
Tutam;Hem demet, hem de el genişliği kadar uzunluk ölçüsü olarak kullanılır.;hem genişliği demet kullanılır ölçüsü el hem uzunluk olarak kadar de;demet el genişliği kadar kullanılır olarak uzunluk ölçüsü;demet el genişliği kadar kullanılır olarak uzunluk ölçüsü;demet el genişlik kadar kullanılır olarak uzunluk ölçü
Tük;Soğanın başı;başı soğanın;başı soğanın;başı soğanın;baş soğa
Ufra;Ekmek yaparken hamura kıvam veren un;kıvam yaparken ekmek veren hamura un;ekmek hamura kıvam un veren yaparken;ekmek hamura kıvam un veren yaparken;ekmek hamur kıva un veren yaparken
Umsuluk;Bunalmak, sıkıntıya girmek.;bunalmak sıkıntıya girmek;bunalmak girmek sıkıntıya;bunalmak girmek sıkıntıya;bunalmak girmek sıkıntı
Unnuk;Un için ayrılmış buğday.;için ayrılmış buğday un;ayrılmış buğday un;ayrılmış buğday un;ayrıl buğday un
Urubla;Çeyrek tas.;çeyrek tas;tas çeyrek;ta çeyrek;ta çeyrek
Urup;Dörtte bir.;dörtte bir;bir dörtte;bir dörtte;bir dört
Uruplağa;Tahtadan yapılmış 2-3 kg buğday alabilen tahıl ölçü kabı.;ölçü kabı kg yapılmış buğday tahtadan tahıl alabilen;alabilen buğday kabı kg tahtadan tahıl yapılmış ölçü;alabilen buğday kabı kg tahtadan tahıl yapılmış ölçü;alabilen buğday kap kg tahta tahıl yapıl ölçü
Uundu;Bebeklerin ağlayarak kendinden geçmesi.;kendinden ağlayarak geçmesi bebeklerin;ağlayarak bebeklerin geçmesi kendinden;ağlayarak bebeklerin geçmesi kendinden;ağlayarak bebek geçme kent
Uyluk;Bacak, bud.;bud bacak;bacak bud;bacak bud;bacak bud
Üleş;Kokmuş hayvan ölüsü;kokmuş hayvan ölüsü;hayvan kokmuş ölüsü;hayvan kokmuş ölüsü;hayvan kok ölüs
Ülüş;Komşulara yemek verme;verme komşulara yemek;komşulara verme yemek;komşulara verme yemek;komşu verm yemek
Ürmek;Köpek sesi.;sesi köpek;köpek sesi;köpek sesi;köpek ses
Ürtmek;Mağlup etmek;mağlup etmek;etmek mağlup;etmek mağlup;etmek mağlup
Ütüzlenmek;Süslenmek.;süslenmek;süslenmek;süslenmek;süslenmek
Üvez;Sivrisinek;sivrisinek;sivrisinek;sivrisinek;sivrisinek
Üzengilik;Gelin indirirken geline verilen bahşiş;geline bahşiş verilen indirirken gelin;bahşiş gelin geline indirirken verilen;bahşiş gelin geline indirirken verilen;bahşiş gel indirir verilen
Varışın;Varınca;varınca;varınca;varınca;var
Vasayıt;Binek aracı.;binek aracı;aracı binek;aracı binek;araç binek
Vayvilim;Figan, ağıt.;figan ağıt;ağıt figan;ağıt figan;ağıt figan
Velvele;Gürültü.;gürültü;gürültü;gürültü;gürül
Verecekli;Borçlu.;borçlu;borçlu;borçlu;borç
Vıcık vıcık;Çok sulandırmak.;sulandırmak çok;sulandırmak;sulandırmak;sulandırmak
Vıddırıvızzık;İşe yaramaz nesne;i̇şe nesne yaramaz;i̇şe nesne yaramaz;i̇şe nesne yaramaz;i̇şe nesn yaramaz
Vırtgel;Aynı yerde gidip gelme.;yerde gidip aynı gelme;aynı gelme gidip yerde;aynı gelme gidip yerde;aynı gelm gidip yer
Vıykıraak;Bağırmak.;bağırmak;bağırmak;bağırmak;bağırmak
Vıykırınca;Bağırınca;bağırınca;bağırınca;bağırınca;bağır
Vızır vızır;Çarçabuk gelip geçen şey;şey gelip çarçabuk geçen;gelip geçen çarçabuk;gelip geçen çarçabuk;gelip geçen çarçabuk
Vızırtı;Boş konuşma.;boş konuşma;boş konuşma;boş konuşma;boş konuş
Vızzık;Sigara izmariti.;izmariti sigara;izmariti sigara;izmariti sigara;izmari sigar
Vizzo;Huylandırmak.;huylandırmak;huylandırmak;huylandırmak;huylandırmak
Yaalık;Eşarp;eşarp;eşarp;eşarp;eşarp
Yaba;Saman atmaya yarayan kürek;saman atmaya kürek yarayan;atmaya kürek saman yarayan;atmaya kürek saman yarayan;atma kürek saman yarayan
Yadırgı;Yabancı.;yabancı;yabancı;yabancı;yabanç
Yağlık;Ter silmek için kullanılan baş örtüsü, el için kullanılan mendile ise el yağlığı;yağlığı ter baş örtüsü ise mendile için kullanılan el silmek;baş el kullanılan mendile silmek ter yağlığı örtüsü;baş el kullanılan mendile silmek ter yağlığı örtüsü;baş el kullanılan ment silmek ter yağlık örtü
