kelime;lemmatization
Vızırtı;boş konuşma
Vızzık;sigara izmariti
Vizzo;huylandırmak
Yaalık;eşarp
Yaba;saman atmaya yarayan kürek
Yadırgı;yabancı
Yağlık;ter silmek kullanılan baş örtüsü el kullanılan mendile el yağlığı
Yalak;çukur
Yalık;eşarp
Yanaz;aksi
Yanaz;alan dışı taç
Yannık;deri yayık tulum
Yanza;aksi
Yapık;kirli saç
Yarpız;naneyi andıran bir ot
Yartnak;ağaç kabuğu
Yasyalbırdak;üzerine giyecek bir şeyi kalmamış
Yasyapıldak;bir başına kalmak
Yavan;yağsız
Yavsı;sinek
Yazı;ovum düz alan
Yazı;tarla ovum
Yazlak;köyün içinde yazın serin olsun çıkılan kısmen yüksek yer
Yeğni;hafif
Yekinmek;kalkmak
Yelyepelek;telaşlı bir şekilde
Yetmek;olgunlaşmak
Yılgın;bıkkın
Yırak;uzak
Yiyen;yeğen
Yonga;odun kesilirken oluşan kırıntı
Yosa;yoksa
Yörep;akabe arazi
Yumuş buyurmak;birisinden bir yapmasını istemek buyurmak
Yumuş;i̇ş
Yunak;yıkama yeri
Yüklük;yatak konulan yüksekçe raf
Yületmek;keskinleştirmek
Yüzeyapışkan;bir böcek
Yüzgaç;ağaç kabuklarını yüzen işçiler
Zaar;herhalde
Zaati;zaten
Zabit;tutanak
Zavara;un bulgur kepeği hayvan yiyeceği
Zehmeri;kara kış soğuğu
Zehre;kışlık tahıl
Zelbir;ham kurşundan yapılan saçma
Zerzembil;i̇çinde tahıl v saklandığı karanlık yer
Zıbarmak;ölmek
Zıbın;gömlek bebek giysisi
Zırnık vermemek;hiçbir vermemek
Zibil;hayvan gübresi çöp yığını
Zikke;totrağa çakılan demir kazık
Zillenmek;filizlenmek
Zincer;böğürtlrni andıran bikenli bir bitki
Zobu;tüstüm işe yaramaz zobu uzanmış yatıyor
Zopur;i̇nce ince yağan hafif yağmur
Zubban;bir tür kuş
Zumzuk;yumruk
Aba;abla
Abani;baş örtüsü
Abat olma;zengin olma
Aburcubur;karışık
Abruka;çevirme kontrol altına alma
Abrul;nisan
Acamı;acemi
Accuk;olan
Acap;acep
Aclanmak;acıkmak
Adamakıllı;doğru dürüst
Adref;etraf çevre
Afkurma;sinirlenme
Afur;ahır
Aga;arkadaş
Agıbet;gelecek
Ağanamak;i̇nlemek anlamak
Ağarlamak;misafir etmek
Ağartı;yarı açık hava
Ağır;yavaş hareket eden
Ağırmak;yüksek sesle bağırma
Ahacuk;i̇şte
Aha;burada i̇şte
Ahmak;aptal salak
Akak;ormandan su akmayan taşlı su yolu
Akınmak;kayak kaymak
Akunduruk;çam sakızı reçine
Akunduz;geniş yapraklı yabani bitki
Akuru gitme;yamaç yerde düz gitme paralel
Alaf;hayvan yiyeceği
Alamuk;yarı güneşli hava bunaltıcı sıcaklık
Alartı;aydınlık
Allancak;hamak
Alaşağı;horonda eğilme
Alemeşkere;alani açıkca yapma
Aluşuk;devamlı gelen alışkan ucu yanan odun
Amade;hazır olan
Amel;i̇shal
Andaval;salak aptal
Andır;adı bilinmeyen i̇şe yaramayan
Andır kalsın;uzak dursun
Angaz;büyük ağır hantal eşya
Angut;aptal avanak
