kelime;lemmatization
Dıkım;lokma
Dırımak;araştırmak irdelemek
Dırtlamak;küsmek
Dibek;havan
Diğdir;halı dokurken ilmikleri sıkıştırmak vurulan delikli saplı demir
Dilber;güzel
Dink;yün bez keçeleme tezgâhı
Dipçek;yayık tokmağı
Dirgen;ot saman taşımaya yarayan ucu çatal tarım aracı
Don;pantolon
Donmak;üşümek
Döner;tabanca
Döş;bağır sine göğüs
Döşek;yatak
Dutmaç;tutmaç çorbası
Duma;nezle
Duzak;tuzak
Dürmek;katlamak bükmek
Düve;doğurmamış dişi sığır
Ebe;nine
Elaşı;ellere karşı
Elilani;leğen
Ellame;herhalde
Emmi;amca
Emmo;amcaoğlu
Enük;yavru köpek
Erkeç;kısırlaştırılmış teke
Ersün;ateş karıştırma aleti
Erükleme;otlak bir alanda ipin bir ucu hayvana diğer ucu demir ağaç bir kazığa
Esbap;elbise
Esvap;elbise
Evitlemek;ayıklamak temizlemek
Evlek;küçük tarla bahçe
Evsmek;savurmak estirmek
Evtiklenmek;oyalanmak
Eyrek;hayvan sürülerinin durak yeri
Eğşi;ekşi
Elemi;öyle mi öyle değil mi
Emice;amca
Emmi;amca
Fene;fena fazla
Fer;güç kuvvet
Ferik;i̇lk yumurtlamaya yakın tavuk
Feslek;bezelye
Fıraktu;tarla bahçelerin etrafını çevirmek yapılan çit
Fanile;kollu kazak el örgüsü kazak
Fingirdemek;erkek kız arasında olan yakınlaşma konuşma
Fistan;elbise entari
Fitti;söğüt kabuğunun çıkartılması yapılan bir çalgı aleti
Gağnı;öküz arabası kağnı
Gağuz;yıkanan kalburla elenen tahılın atık kısmı
Galan;bundan sonra
Gamaz;dönerek esen rüzgâr küçük hortum
Gardaşım;kardeşim
Gavur;ecnebi
Gavurluk;yaramazlık
Gavurga;buğday kavurması
Gayış;kemer
Gayri;sonra
Gedik;eksik
Gepre;mandaları tımar etmekte kullanılan şal parçası
Gevmek;çiğnemek
Gıran Giresice;salgına afete uğrasın anlamında söylenir
Gırnap;kendir ipinin incesi
Goca;erkek eş koca yaşlı büyük kimse
Golan;yün keçi kılından dokunarak yapılan şerit biçiminde ip
Göcek;sobaya kesilen odun
Gödel;hamur kepek davar köpeği azığı
Göden;kara kurbağası
Göğ;gök mavi renk
Göğermek;yeşermek
Göğnü;fazlaca olgunlaşmış meyve
Gök;mavi
Gölbez;köpek yavrusu
Gön;deri hayvan gübresi
Göreslemek;özlemek
Göynek;patiska bez gömlek
Gubarmak;büyüklenmek kafa tutmak
Gupa;bardak
Gurüzlük;i̇ç içe girmiş ağaç topluluğu
Gurcalamak;karıştırmak
Gurk;kuluçka
Guşak;kemer
Gücek;kısa kalmış kısa boylu
Gücenmek;üzülmek
Güğüm;eskiden içine su doldurulan bakır kap
Gülk;kuluçkaya yatan tavuk
Güvey;damat
Hamamlık;banyo
Hark;küçük su kanalı ark
Harman;hasat edilen ekinler
Hartama;kiremit altı tahtası
Hayat;avlu
Hazzetmek;hoşlanmak
Heçlenmek;pislenmek
Hela;tuvalet
Helemence;fazla pişmiş
Helke;su kabı kova
Herç Etmek;sitem etmek
Hır Çıkarmak;huzursuzluk yapmak
Hıra;küçük kalmış gelişememiş
Hırtlak;gırtlak boğaz
Hopal;yabani güvercin üveyik
Hosul;süt mısırın közde pişirilmiş hali
Hursat;fırsat ekim uygun zaman
Hoduk;kedi yavrusu
Hökela;ukala
Ilıtma;ekşimiş ayranın ısıtılması yapılan koyu ayran kıvamında içecek
Ingırcak;harman tarla bahçe vb yerlere girmek yapılmış ağaçtan kapı
Iprık;i̇brik
Irak;uzak
Irazı;razı
Irbık;bakır sürahi
İlazım;lazım ihtiyaç
İlağen;leğen
İlenger;i̇çine pilav konulan yayvan büyük kap
İman tahtası;göğüs kafesi
İrin;i̇ltihap
İskemle;sandalye
İşlik;gömlek
İteği;sofra altı
İzane;zıddına inadına
Kaktırma;i̇tme
Kap;tabak çanak
Karpiş;tam pişmemiş
Kavil;söz vermek i̇ddia etmek
Kayış;kemer
Kayrak;i̇nce kaya
Kel;kötü başında saç olmayan
Kelep;i̇p yumağı
Kelik;tarla bahçeye yapılan basit barınak gölgelik
Kemre;hayvan gübresi
Kepenek;kelebek
Kepi;el değirmeni taşları arasına konulan taşların ara açıklığını sağlayan bez halka
Kepermek;elma yabani elmanın kepekleşmeye başlaması
Kerhanacı;üçkağıtçı
Kertik;i̇şaret
Keşik;nöbet
Kevrek;gevrek kolay kırılabilen
Kevuk;kendirden ip bükmeye yarayan araç
Kırı;sıpa
Kısmuk;cimri
Kömüş;manda
Köplü;merdiven köprü
Kösüre;balta orak bıçak kesici aletleri bilemeye yarayan taştan yapılmış düzenek
Kötek;kalın çubuk
Kurna;pınarlarda taştan oyulmuş musluk
Kursak;yemek borusu
Kile;tahıl ölçüsü birimi sekiz teneke
Kiren;kızılcık
Kitleme;kilitleme
Lenger;geniş tabak
Mada;mide i̇ştah
Makat;divan
Malak;manda yavrusu
Maraz;hasta hastalıklı
Maşrapa;ta su bardağı
Mecal;kuvvet takat
Meh;al
Mesarif;masraf
Metel;bilmece masal
Meymenetsüz;hayırsız işe yaramaz
Mık;çivi
Mıymıntı;uyuşuk
Misaf;kutsal olan nimet
Mizik;sivrisinek
Muçma;yumruk
Mugallit;komik insanları güldüren
Muzu;i̇nat
Müstamel;kullanılmış eskimiş ikinci el
Nacak;küçük balta çoban baltası
Nalet;lanet kötü olan
Namazloğu;koyun keçi postundan yapılan seccade
Nasibetsüz;münasebetsiz
Napıyın;yapıyorsun
Nodul;övendirenin ucuna takılan sivri çivi
Ocaklık;mutfak
Oğanmak;nefesi tıkanmak nefessiz kalmak
Okuntu;düğün davetiyesi
Ondere;öküzleri koşarken kullanılan sopa
Öteaçe;karşı taraf
Öğsü;bir kısmı yanmış odun
Örsün;sac üzerinde ekmek çevirmeye yarayan üçgen şeklindeki demir alet
Öteyaka;öteki taraf
Ötürek;i̇shal
Öyke;öfke
Pahla;fasulye bakla
Paklama;temizleme
Palazlanmak;büyümek varlıklı olmak
Peşgir;havlu
Peşgur;el havlusu
Peşkir;havlu
Pıtıl;sac tandır üzerinde mayalı hamurdan pişirilen ince yuvarlak ekmek
Pırtı;çamaşır
Potur;büyüyememiş kısa kalmış ağaç
Pontul;pantolon
Postal;ayakkabı
Pot;domuz yavrusu
Pürçek;ağaç bitkinin kökleri
Püsürgeç;yufka çevirme aracı
Saçayağı;üçayaklı altında ateş yakılıp yemek pişirmeye yarayan alet
Sadır;sidik
Sahan;tabak
Saku;aba yün ceket
Sakurga;kene kan emici parazit hayvan
Salgu;dibeğe dökülen ürünü dövmeye yarayan tokmak
Sallantu;deprem
Saya;koyun keçinin yatak yeri
Seğirtmek;koşmak
Sehim;hisse
Sekmen;beton taş merdiven ağaç oturak tahtadan yapılan iskemle
Sındı;makas
Sırtarma;karşı gelme
Sinmek;gizlenme
Soku;taş dibek
Somun;ekmek
Susa;şose yol
Suva;salon evin girişindeki boş kısım
Süksün;ense başın arka kısmı
Sümsük;yalaka gevşek kimse
Sütlek;süt mısır
Süvelmek;ayakta durmak
Süye;ağaç kazık fasulye sırığı
Şal;keçi kılı yünden dokunan kilim
Şer;kötülük
Şip;çabuk
Şipe;çeşmelerde su akan demir boru
Şişek;bir yaşındaki koyun
Şom ağız;boşboğaz
Tam;ahır hayvan barınağı
Takat;güç kuvvet mecal
Temel;evin duvarı
Terek;mutfak dolabı rafı
Tevek;üzüm asması
Teyin;sincap
Tezelenmek;tazelenmek yenilenmek
Tırıl;çabuk küsen kimse
Tirentez;titiz
Tokaç;çamaşır sopası
Toklu;bir yaşındaki dişi koyun
Tosbağa;kaplumbağa
Tömek;hayvan gübresini ahırdan dışarı atmaya yarayan delik
Törleme;i̇shal
Trampa;taka bire bir değiştirme işi
Tuman;alt iç çamaşırı
Tülbent;i̇nce dokunmuş beyaz başörtüsü
Tünek;hayvanların barındığı yer
Tünemek;yatmak
Urba;giysi
Üleş;leş
Üleşmek;paylaşmak
Ünlemek;bağırmak
Ürüsüm;gelenek görenek
Vareze;bütün azalar taraf
Veran;terk edilmiş viran olmuş
Ya;evet
Yaba;ele benzer şekilde beş parmaklı ortası geniş bir alet harman aktarmaya yarar
Yağır;eşeğin sırt yarası
Yağlık;mendil
Yalak;taştan oyulmuş hayvanların kullandığı su kabı küçük çukur
Yaşmak;başörtüsünü dudağa çekmek
Yazma;eşarp
Yapaz;boynuzları geriye doğu yatık hayvan
Yeğin;iyi kaliteli
Yenik;hafif
Yiğreç;i̇ğrenç kötü beğenilmeyen
Zahra;kışlık yiyecek buğday
Zembil;hasırdan yapılmış usta çantası
Zerze;kapı kilit demiri
Zuval;kızılcık
Ladik;aba giysi
Abu;abla
Acuk;acı elma
Afur;ahır
Aga;büyükler
Ağartu;yoğurt
Aha;i̇şte
Akyel;lodos
Alma;elma
Annaç;karşısı
Aş;çorba
Avu;zehir
Aygül;ayçiçeği
Aze;kalça kaba yer
Badal;merdiven basamağı
Badik;kaz yavrusu
Bağırdak;bebek sarma bezi
Baldırcan;patlıcan
Bakraç;su kabı
Balak;manda yavrusu
Bandik;kadın giysisi
Basgancak;merdiven
Bek;sert
Bıldır;geçmiş yıl
Bi cimcik;
Bi gayde;bir cüret
Bisürgeç;ekmek çevirme maşası
Boğazsak;obur
Bostan;bahçe
Boyunbağı;atkı
Böğür;göğüs
Buymak;üşümek
Cember;yemeni
Cerecera;güç kuvvet
Cerek;uzun ince ağaç
Ceryan;elektrik
Cıbartmak;dövmek
Cılk;çürük yumurta
Cırcır;fermuar
Cicik;göğüs meme
Cimbek;sevimli açıkgöz çocuk
Comba;manda yavrusu
Cof coflu;haliyle güzel olan
Cor;fıtık
Culuk;hindi
Cücük;civciv
Çağa;çocuk
Çağlık;lavabo
Çaput;bez parçası
Çene;köşe
Çıkı;yiyecek bohçası
Çiğit;çekirdek
Çimmek;banyo yapmak
Çirşef;belalı
Çokmak;havlamak
Çoşdar;konuşan gezen
Daraba;tahta duvar
Dene;buğday
Dey da;i̇şte orada
Dırık;zayıf sıska
Dinelmek;ayakta durmak
Doruk;çatı
Dozanak;bahar sineği
Dömbek;darbuka
Döşek;yatak
Dutak;kazan tutacağı
Eccük;azıcık
Eğsük;eksik
Eğüsüketek;yeni yetişmiş kız çocuğu
Ellağam;herhalde
Eme;hala
Emzük;biberon emzik
Emzüklü;memede çocuğu olan kadın
Enik;köpek yavrusu
Esbap;çamaşır
Estek köstek;ivır zıvır
Evsük;alışveriş
Ferik;genç tavuk
Fışgın;ağaç sürgünü
Filke;musluk
Fisdon;uzun kadın elbisesi
Fisil;tohumluk soğan
Gadun;yenge
Galuk;evde kalmış kız
Ganruk;balgam
Garamak;kötülemek
Gavşamak;sıvanın gevşemesi dökülmesi
Gayde;hareketli
Gevük;köy evlerindeki ağaç askı
Gezgüç;gezen
Gıcık;koyun yavrusu
Gısmuk;cimri
Gıynaşuk;hafif aralıklı
Gocamak;i̇htiyarlamak
Gocarı;i̇htiyar kadın
Göbel;öksüz çocuk
Gödeş;eşekçi
Gömbe;tepside pişirilmiş ekmek
Gön;deri
Göynek;i̇ç atlet gömlek
Gözer;i̇ri gözlü elek
Gubarmak;şişmek kafa tutmak
Gubat;kaba kullanışsız
Guyöv;damat
Güdel;tahta kürek
Güdül;mısır ekmeği
Hahır;tam
Halbur;kalbur
Hapaz;avuç dolusu
Hayat;avlu
Heç;pi
Helbet;elbet
Hemi;öylemi
Herk;nada
Hopcik;tez canlı
Hörtüm;yudum
Isgılık;islık
Ilıncak;salıncak
İrdemek;hor görmek
İsgembi;sandalye
İt üzümü;böğürtlen
İtdirseği;arpacık göz çıbanı
Kase;çay bardağı
Kelik;küçük kulübe ev
Kemçük;ufak tefek çirkin kız
Kemre;hayvan gübresi
Keperüm;kepeklenmiş meyve
Kepenek;kelebek
Kese;kısa yol
Kesmük;meyvenin arta kalan kısmı
Kırmızı;domates
Kip Sıkı;sağlam
Kocabaş;şeker pancarı
Kopça;düğme
Kömüş;manda
Kötek;sopa
Kürtük;kar birikintisi
Löküs;gazlı lüks lambası
Mahsus;yalan
Makat;sedir
Mangaş;cımbız
Marsuk;kötü odun kömürü
Mecel;güç kuvvet
Mıh;i̇ri çivi
Mücüver;omlet
Öğsü;ateş karıştırma değneği
Öllük;elenmiş toprak
Ötürek;i̇shal
Pahla;fasulye
Parpu;fırın süpürgesi
Parta;yalan
Peşgur;havlu
Pıtıl;sacda pişen bir tür ekmek
Pin;kümes
Sabi;küçük çocuk
Sahan;tabak
Seğirtmek;koşmak
Sıçan;fare
Sırık;uzun değnek
Sini;büyük tepsi
Sitil;küçük yemek kazanı
Sokranmak;söylenmek
Soku;i̇çi oyulmuş taş dibek
Somak;mısır koçanı
Sökütmen;küçük oturak
Sövelmek;ayakta durmak
Sulusepken;karla karışık yağış
Süksün;boyun kısmı
Sümsük;arsız
Sürgü;merdiven
Şallak;çıplak fakir
Şefter;uçurum yeri
Şennik;düğün eğlence
Şibi;ördek yavrusu
Şibik;ördek
Şinik;ölçeğin yarısı
Şip;hızlı
Şüşürtlek;balon
Takunya;nalın
Teknedibi;bir çeşit ekmek
Teyin;sincap
Teyküllü;sevgili
Tosba;kaplumbağa
Tök;hindi
Tömek;ahır penceresi
Tumman;alt iç çamaşırı
Yaban;uzak
Yalak;hayvanlar su kabı
Yazu;arazi
Yeğin;bol
Yeğincek;tez canlı
Yeğni;hafif
Yumak;yıkamak temizlemek
Yunak;çamaşırhane
Yüklü;hamile
Zağan;tabak
Zartalak;patavatsız
Zeklenmek;taklit etmek
Zelzele;deprem
Zımzık;yumruk
Vezirköprü;abu abla
Afaganlu;öksüren
Afur;hayvan yemliği ahır
Aga;ağabey
Ağartu;süt mamulleri
Ağuz;doğum yapan hayvanın ilk sütü
Alaf;vücut ateşi kuru ot
Aluk;i̇lçeye özgü bir hayvan semeri
Amel;i̇shal
Anadut;üç parmaklı dirgen
Aralık;sokak
Ars;gelincik
Asartma;korumaya alınmış ağaç
Aşane;mutfak
Avgun;pi su borusu
Avu;zehir
Ayakyolu;tuvalet
Aze;vücut organları
Badal;merdiven basamağı
Badik;kaz yavrusu
Bağırdak;beşikte yatan çocuğu saran bez
Bakrak;madeni su kovası bakraç
Balak;manda yavrusu
Bandik;kadın şalvarı
Barama;i̇pek kozası
Başlak;başı açık
Bayak;önce
Bazlambaç;tavada yağla pişirilen ekmek
Becit;acele
Beh;kapora
Beleme;çocuğu beşiğe yatırma
Belleme;basmadan yapılan etek
Bennek;bencil
Betgu;kaba dokunaklı konuşan
Bezek;kemeri
Bıçaklık;kiler
Bıçkı;ot biçmeye yarayan ağzı testereli bıçak
Bıldır;geçen yıl
Bikiyi;azıcık
Birader;erkek kardeş
Bişi;yağda kızartılmış küçük hamur parçaları
Bocut;tahta su fıçısı
Boduç;tahta su fıçısı
Bolat;sert
Borani;yumurta yoğurt nane yapılan bir yiyecek
Bosdili;altı aydan büyük keçi
Boyunduruk;öküzü saban kağnıya koşmaya yarayan alet
Bozgun;i̇shal
Böğür;göğüs
Böğürmek;sığırın s çıkarması
Börddüme;haşlama
Bun;bunaltı
Burma;musluk
Buymak;üşümek
Buzalacı;gebe inek
Bük;küçük ağaç çalı
Bürük;kara çarşaf
Cağ;beyaz kumaş torba
Cebiş;bir yaşından büyük dişi keçi
Cergi;kendiri bağlayarak demet haline getirme
Cımcık;sulu
Cıngıroğu;zil
Cırcır;fermuar i̇shal
Cibillik;sulu çamurlu
Cicik;meme
Cicile;misket
Cimbek;saka kuşu
Cimcik;kesme hamurdan yapılan yoğurtlu bir yemek
Cimin;küçük sinek sivrisinek
Cin arabası;bisiklet
Cip;hemen
Comba;erkek manda
Cor;fıtık hastalığı
Cula;küçük karga
Cücük;civciv
Çaldıratma;arpa yulaf tahılları elemeye yarayan alet
Çalkama;pekmezin sulandırılması yoğurttan yapılan ayran
Çapula;deriden yapılan basit ayakkabı
Çaput;bez parçası
Çaynık;çaydanlık
Çeç;samanı ayrılmamış tahıl
Çeğle;küçük taş
Çehresiz;yüzü gülmeyen
Çeten;kağnı üzerine konup saman kemre taşınan sepet
Çevirge;kağnıya yüklenen yükü urgan bağlayıp gerdirmeye yarayan alet
Çıkı;küçük bohça
Çırpma;kapuska
Çıt;basit kapı anahtarı
Çiğit;çekirdek tohum
Çilte;uzun sopa
Çimmek;boy abdesti almak yıkanmak
Çokmak;köpeğin havlaması
Çomça;ağaçtan yapılan su tası
Çor;tuzlu su
Çostik;hayvan boynuzu oynanan çocuk oyunu
Çoştar;şeyle ilgilenen
Çotur;kısa boylu
Çöğdürçüş;tahterevalli
Çökü;başörtüsü yemeni
Çötle;çeşme borusu
Çuğul;yığın
Çükündür;kırmızı pancar
Dahra;sapı kısa ucu eğri kesici alet
Daku;takı hediye
Dam;ahır
Daraba;tahtadan yapılan bahçe çiti
Dansuklama;alay etme eğlenme
Dırıtıvermek;söz dinlememek
Dapçuk;dengesiz yersiz konuşan
Dastar;arasına ekmek konan bez
Değirmi;yuvarlak
Temgeç;semaverin demlik konan yeri
Demin;önce
Deri günü;pazar günü
Dıravacı;sahtekâr
Dingildombalak;tepe takla
Dingosuruk;çabuk kızan
Dirgen;ucu çatallı sopa ziraat aleti
Diri tutma;israr etme
Dişöğü;değirmen taşını dişleyen çekiç
Dobak;boynuzsuz hayvan saçı olmayan
Doğah;öküze söylenme komutu
Döğen;harman sapları ezmeye yarayan alet
Dömbüldek;darbuka
Döngel;muşmula
Döşşek;yatak
Dumoğu;nezle
Düvlek;olmamış kavun
Ebe;nene
Eğdişmek;biriyle uğraşmak
Elçi;eğitilmiş hayvan
Elleğam;halde
Ellek;eli çabuk becerikli
Ellik;orakla ekin biçerken parmaklara takılan ağaçtan yapılmış bir alet
Emen;sebze ekmek açılmış çukur
Emeksüz;evlatlık çocuk
Emme;hala
Emzük;yalancı meme
En güdük;sonuncu
Endirek;çilek ağacı sandal ağacı
Enek;bilye misket
Erinme;i̇şi gözü almama tembellik
Eski;bez parçası
Esnek;demirden yapılmış ucu sivri tasma
Eşikbaşı;balkon
Ezme;domates salçası meyve marmeladı
Fasla;tatlı dilimi
Feğülsüz;doyumsuz açgözlü
Ferik;piliç sincap
Fermanlu;kendini beğenmiş
Feşel;yaramaz çocuk
Fışkı;çöp
Filkete;çatal iğne
Firek;kilit
Fisil;küçük soğan
Fisürtü;i̇silek
Fitleme;kışkırtma
Gadid;kuru
Galaylama;sövme
Galtak;kötü kadın
Gancık;dişi hayvan
Gara Baldırcan;patlıcan
Garalık;siyah renkteki okul önlüğü
Garipseme;özleme
Garuklu;buğday arpanın beraber öğütülüp un yapılması
Gastarma;koruma kollama
Gatık;yayık ayranının süzülmüş hali
Gavlağan;çınar
Gavurga;mısır patlağı nohudun su ateşte pişirilmesi
Gayma;lira
Gebeş;göbekli şişman
Gıcık;koyun keçinin genel adı davar çam kozalağı
Gıdak;çocuk dilinde yumurta
Gıgık;yumurta
Gıncır Göbek;göbek salıncağı
Gıngılik;tavuk ibiği
Gıpti;cimri
Gırboğu;kurbağa
Gırışma;sevinme
Gırmızı Baldırcan;domates
Gırnap;sicim ince ip
Gırnat;klarnet
Gısıruk;kapının aralanması
Gısmuk;cimri
Gış;kar
Gıymuk;küçük tahta parçası
Gıynaşuk;kapının aralıklı kalması
Gişi;erkek koca
Gocuk;kısa palto kaban
Gor;köz
Goruk;olgunlaşmamış üzüm yabani üzüm
Govcu;laf taşıyan ispiyoncu
Göbel;yetim çocuk
Göcek;semerin arkasında bulunan u şeklindeki demir
Gök;mavi olmamış meyve
Gölbez;üç aylıktan büyük köpek yavrusu
Gölü;yük taşıyan eşek
Görebi;ağaç çalı kesmeye yarayan ucu eğri demir alet
Göynümüş;meyvenin olmuş hali
Gözer;buğday elemeye yarayan alet
Gubak;çocuk oyununda sayı
Gubarmak;horoz hindinin tüylerini açması
Gubat;kaba
Gudret suyu;ilıca kaplıca
Gundak;kedi yavrusu
Gunnacı;gebe eşek
Gursak;mide
Gurumlu;kibirli havalı
Guytuk;çukur
Guz;güneş görmeyen yer
Guzulacı;gebe koyun keçi
Güdek;çocuk oyununda ebe olmak kısa
Günüleme;kıskanma
Güyoğu;damat
Güvez;vişne çürüğü bordo rengi
Haluşka;hamur çorbası
Halvet;hamam odası
Hamdaysa;halbuki
Hapaz;avuç
Harar;büyük çuval
Hareket;deprem
Havruz;lazımlık
Haydos;çalgıcı
Hazitme;sevme
Hedik;aşure
Hereni;büyük tencere
Herkil;küçük ambar
Herlik;sincap
Homis;beleş bedava
Hopur;acuk tatlısı
Hosul;patlıcan biber közlemesi
Hozan;verimsiz tarla
Hödük;ürkek korkak
Hörpük;helvanın keşi
Hörüklü;dolu
Hös Hös;kalitesiz iş yapan işi önemsemeyen
Hulgum;lokum
Humatun;baykuş
Huycuklanma;şüphelenme
Hüşümlenme;korkma ürperme
Ilıncak;bebek salıncağı
Islak;kendir ıslatılan havuz
Işgın;yeni bitki sürgünü
Işıklık;tavan penceresi
İçlik;pamuklu iç çamaşırı
İğdiş;erkekliği olmayan
İlistir;süzgeç kevgir
İnge;yenge
İslah;i̇yi güzel
İskembi;sandalye
İyeğü;kaburga kemiği
Kalbur;buğday arpa tahılları eleme aleti
Karaçağ;kağnının üstüne konan kazık takmaya yük yüklemeye yarayan bir parça
Kaypak;hamurdan yapılan bir yemek
Kehle;bit
Keleçoş;kendisini ilgilendirmeyen işlerle uğraşan
Kelem;beyaz top lahana
Kelemaşı;kapuska
Kelibik;i̇bibik kuşu
Kelik;basit bağ evi kulübe
Keltek;eski ayakkabı
Kemüre;hayvan pisliği gübre
Kendürük;hamur teknesinin altına konan deri altlık
Kenef;tuvalet
Kepçük;dişsiz çirkin
Kesmük;meyve artığı
Keşik;sıra
Kevgür;su kabağından yapılan ta
Kırık;sıpa
Kırma;melez
Kiren;kızılcık
Kirtik;küçük sabun
Kombez;kestane kebap
Koruk;yabani üzüm
Kömüş;manda
Kör Cimbek;serçeden küçük kuş saka kuşu
Kösüre;balta bıçak bileği taşı
Kupay;tavşan avcısı kısa boylu bir köpek türü
Küflek;tahtadan yapılmış kova
Küsküt;saç ekmeği pişirirken çevirmeye yarayan alet
Küt İskembi;küçük oturak
Lığlak;araziye akıtılan suyla ince toprak gelmesi
Lom Sözlü;kaba kırıcı insan
Lorç;ıslak
Makat;sedir
Mandal;kapı kolu
Marsuk;yanmış kömür
Maşrapa;büyük su tası
Maymun;topaç
Mazak;acı olmamış meyve
Mazı;kağnının tekerlek bağlantısını sağlayan parça
Mecek;küçük çapa
Mengül;halka bilezik
Mertek;uzun ağaç kereste
Merzimen;merdiven
Metel;bilmece
Mıh;çivi
Mıhlama;yumurta kıyma ıspanak patates kullanılarak yapılan bir yemek
Mırık;küçük domates soğan yemeği
Mıtırıp;cimri
Minik;yeni doğmuş köpek yavrusu
Motur;traktör
Mumbar;hayvan bağırsağı
Muşma;yumruk
Namazloğu;seccade
Natır;kadın tellak
Nevazil;nezle
Nızla;asap
Nodul;övenderenin ucundaki çivi
Nüzül;felç inme
Okloğo;hamur açmaya yarayan alet oklava
Orak;ekin biçmeye yarayan hilal şeklinde saplı alet
Öğendere;öküzleri idare etmede kullanılan değnek
Öğsü;yanan odun parçası alet
Öllük;bebeğin beşikte altına konan toprak
Ömürdoğdu;gökkuşağı
Önük;köpek
Örsün;hamur parçalamaya yarayan alet
Örüm;koyun sürüsünün gece otlatılması
Ötürek;i̇shal
Öyükmek;çamura batmak
Özgü;türkü
Paçur;kirli yırtık elbiseli sünepe
Pahal;cimri
Parpu;uzun ince sopa
Pakla;fasulye
Papara;bayat ekmek et suyuyla yapılan bir yemek
Paya;öfke kapris
Pelüze;nişasta şeker sıcak su yapılan bir çocuk yiyeceği
Penek;küçük ahır penceresi
Peşgir;adi kumaştan yapılmış havlu
Pırtı;basma benzeri bez
Pıtmıt;yuvarlak kalın sac ekmeği
Pıtpıt;yuvarlak kalın sac ekmeği
Picikme;şüphelenme huylanma
Pin;küçük tavuk kümesi
Pinti;cimri
Pişirgeç;üçayaklı demir
Pokluk;hayvan gübresinin depolandığı yer gübrelik
Potin;deri ayakkabı
Poymak;kaçmak
Pöç;kuyruk sokumu
Pöre;kiremitten su borusu
Puğu;dövülmüş nohut şeker karışımı yapılan bir tatlı
Puta;başa örtülen çarşaf
Püsürgeç;sac ekmeğini pişirirken çevirmeye yarayan alet
Reçber;çiftçi
Sacayak;ocakta üzerine kap konulan üçayaklı demir eşya
Sadır;eşek sidiği
Saku;ceket
Salakana;başıboş gezen sahipsiz köpek
Samaruk;turp sebzelerin içinin boş olması
Samsa;büyük tatlı börek dilimi
Savak;değirmen oluğu
Sef;yanlış
Seğirtmek;koşmak
Seğrilce;eşek sineği
Seme;kendinde olmayan
Seten;bulgur dövülen büyük değirmen taşı
Seyis;kısırlaştırılmış erkek keçi
Sığırtmaç;köy sığır çobanı
Sıracalı;bulaşık belalı
Singil;beleşçi yancı
Sirke;bit yumurtası
Sitil;küçük bakraç
Sivrik;ekinin yeni bitmiş hali
Soğukluk;semiz otu
Soğutmaz;termos
Soku;bulgur dövülen içi çukur taş
Soluğan;eşeğin iyi nefes alamaması
Som;ekinin saman dane karışımı
Somak;tanesi alınmış mısır koçanı
Sot;topaç
Suğlu;çevirme yapılırken kaz kuzunun ortasına takılan demir ağaç sopa
Süngüt;semaver demlik oluşan kireç
Sürgüç;bulaşık bezi
Sütlü;sütlaç
Şakşak;kapı tokmağı
Şallak;donsuz
Şerefiye;patlıcan oturtması
Şibi;kaz ördek yavrusu
Şirnimek;şımarmak
Şişek;bir yaşındaki dişi koyun
Şişük;şımarık
Şoşalak;şaşırmış yaptığını bilmeyen
Taslama;övünme
Tazı;uzun bacaklı tavşan avcısı bir köpek türü
Tebelleş;sürekli sataşma
Temgeç;semaverde demliğin konulduğu yer
Temşüt;sahur
Terece;raf sergen
Terki;ata iki kişi binince ikinci kişinin oturduğu yer
Tevek;sarmalık üzüm yaprağı
Tınaz;ekin yığını
Tapan;arazi düzleme tohum kapatmada kullanılan alet
Tınık;genizden konuşan
Tırıl;sinirli kişi
Tırpan;ekin ot biçmeye yarayan ağzı uzun alet
Tıylak;tay
Tinkos;alıngan çabuk küsen
Tohna;şişman kısa boylu
Tokaç;çamaşır yıkama sopası
Toklu;yaşına değmemiş erkek kuzu
Toktok;i̇nce bulgurdan yapılmış pilav
Tök Tök;hindi
Tufa;çene
Tumman;uzun
Tüğül;sapları birbirine bağlanmış meyve demeti
Uğra;ekmek yaparken hamur yapışmasın kullanılan un
Uğut;buğdaydan yapılan tatlı
Ulaşık;nişanlı
Urba;elbise giysi
Üğü;baykuş
Üleş;leş
Üleşme;paylaşma taksim
Ütme;ateş pişmiş taze mısır
Vizik;güvercin yavrusu
Yaba;kürek şeklinde ucu parmaklı harman aleti
Yağazlama;bunama
Yahni;sulu salçalı et yemeği
Yal;hayvanlar un kepek karışımı hazırlanan sulu yem
Yanuç;yengec
Yangabuz;aksi kişi
Yanşama;tekrar tekrar söyleme
Yaşmak;başörtüsü bağlama şekli
Yavşuk;bit yumurtası
Yayık;yoğurt sütten yağ çıkarmak kullanılan
Yemişen;trabzon hurması
Yeşilistan;kertenkele
Yıldamcı;yıl doğuran hayvan söylenir
Yıluk;şaşı
Yoka;yufka i̇nce
Yumulak;saklambaç oyunu
Yumulmaç;saklambaç oyunu
Yunak;çamaşırlık
Yüklü;gebe
Yüklük;yatak konulan dolap
Zağar;başıboş gezen sahipsiz köpek
Zahir;halde
Zahra;yemeklik tahıl
Zarzalak;leylak çiçeği
Zavrak;salatalık
Ansara;sonra
Asta;hasta
Ayazlık;evin alt katındaki odalara açılan genişçe alan
Aygülü;ayçiçeği
Bacık;kaplumbağa
Bare başı;raf
Bıçkı;testere
